"filename", "language", "Dart", "comment", "blank", "total"
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\delete_account_page.dart", "Dart", 216, 8, 21, 245
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\device_permissons_page.dart", "Dart", 150, 8, 16, 174
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\edit_profile_page.dart", "Dart", 554, 20, 41, 615
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\profile_input_row.dart", "Dart", 110, 3, 7, 120
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\settings.dart", "Dart", 336, 9, 20, 365
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\settings_section_header.dart", "Dart", 21, 0, 4, 25
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\settings_tile.dart", "Dart", 83, 0, 4, 87
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\settings\static_info_page.dart", "Dart", 78, 3, 7, 88
"d:\Ana\Projeler\Bulusalim\bulusalim_frontend\lib\screens\sign_in_screen.dart", "Dart", 10, 1, 0, 11
"Total", "-", 7312, 225, 660, 8197
